%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionNative
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 340.6319579142146, 171.26123867090791, 10.926117720548064, 205.8571832110174, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839198953795E9, 0.0, 2025-02-25 11:45:19.895
1.0, 152.88524023862556, -12.379068853333592, 13.783401286695153, -16.558407053817064, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199229112E9, 0.0, 2025-02-25 11:45:19.922
1.0, 343.36395483184606, -205.3541666669771, 14.119992282707244, 174.09234293736517, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199229643E9, 0.0, 2025-02-25 11:45:19.922
2.0, 555.2068479219452, -16.87816850002855, 11.47588301403448, 415.99281197134405, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199232955E9, 0.0, 2025-02-25 11:45:19.923
2.0, 338.27208104217425, 162.87264307029545, 16.117098859045655, 209.7840781644918, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199233377E9, 0.0, 2025-02-25 11:45:19.923
3.0, 132.98149267444387, -33.71145820058882, 14.939030373003334, -30.310019190888852, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199239676E9, 0.0, 2025-02-25 11:45:19.923
3.0, 326.94579402636737, -218.89260450657457, 12.919484396930784, 176.10814901348203, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199240065E9, 0.0, 2025-02-25 11:45:19.924
4.0, 523.3578598992899, -36.864193863235414, 11.285148116294295, 413.6030158996582, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199246964E9, 0.0, 2025-02-25 11:45:19.924
4.0, 312.92677904246375, 137.02245457656682, 10.776521722320467, 201.94524785736576, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199247365E9, 0.0, 2025-02-25 11:45:19.924
5.0, 174.07177348760888, -5.587410533800721, 11.651658311951905, 19.344632520806044, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740483919925239E9, 0.0, 2025-02-25 11:45:19.925
5.0, 370.94197710510343, -198.37925324961543, 15.406517867464572, 226.67533631436527, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740483919925286E9, 0.0, 2025-02-25 11:45:19.925
6.0, 521.8319807173684, -41.91679870337248, 13.001762195955962, 423.3192759845406, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199528916E9, 0.0, 2025-02-25 11:45:19.952
6.0, 339.3977909288369, 154.37559037096798, 11.913451308850199, 232.85552099114284, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199529452E9, 0.0, 2025-02-25 11:45:19.952
7.0, 158.7643629689701, -21.852235441096127, 10.626925724092871, 24.77870715642348, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199534955E9, 0.0, 2025-02-25 11:45:19.953
7.0, 358.2150975558907, -207.33257374353707, 11.43474411452189, 230.35913777071983, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199535382E9, 0.0, 2025-02-25 11:45:19.953
8.0, 557.0693180998787, -21.235151948407292, 15.615952264983207, 457.3710650810972, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199832067E9, 0.0, 2025-02-25 11:45:19.983
8.0, 363.61738304188475, 163.9310347577557, 12.594113100785762, 248.37236590730026, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740483919983276E9, 0.0, 2025-02-25 11:45:19.983
9.0, 162.44816442532465, -23.430473222397268, 13.207456693518907, 29.21422850387171, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199839108E9, 0.0, 2025-02-25 11:45:19.983
9.0, 348.4202995719388, -212.6581912804395, 14.950250072870404, 221.22630207892507, -0.01600000075995922, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.74048391998396E9, 0.0, 2025-02-25 11:45:19.983
10.0, 539.0766594130546, -30.60360133741051, 14.168610982131213, 450.0707803675905, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199848256E9, 0.0, 2025-02-25 11:45:19.984
10.0, 348.60542461974546, 160.4491878990084, 5.981969979126006, 248.6939973034896, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199849532E9, 0.0, 2025-02-25 11:45:19.984
11.0, 141.9422929682769, -17.035244298167527, 11.07197381881997, 36.70898801507428, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199851673E9, 0.0, 2025-02-25 11:45:19.985
11.0, 304.4876947924495, -208.43958413042128, 10.847579821478575, 217.15729092713445, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839199852097E9, 0.0, 2025-02-25 11:45:19.985
12.0, 472.65229630004615, -49.347979915328324, 9.673251235391945, 411.374035526067, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200133138E9, 0.0, 2025-02-25 11:45:20.013
12.0, 288.4566136323847, 156.47367424611002, 11.027095019351691, 242.34738707868382, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200133665E9, 0.0, 2025-02-25 11:45:20.013
13.0, 111.89593672426417, -10.980346269905567, 12.66143129998818, 36.52573291724548, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200135193E9, 0.0, 2025-02-25 11:45:20.013
13.0, 316.05894525535405, -217.89405121840537, 13.031681395601481, 210.2459558090195, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200136201E9, 0.0, 2025-02-25 11:45:20.013
14.0, 509.31827546563, -21.27255094796419, 11.270188516471535, 432.81488197203726, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200440037E9, 0.0, 2025-02-25 11:45:20.044
14.0, 333.27183480141684, 165.98797973338515, 11.07571371877566, 243.06544787017629, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200440552E9, 0.0, 2025-02-25 11:45:20.044
15.0, 155.37601360911503, -18.224532484076917, 9.83406693348661, 16.371412056032568, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200444808E9, 0.0, 2025-02-25 11:45:20.044
15.0, 366.5513345571235, -203.66747178696096, 13.824540186207741, 209.51293541770428, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200445104E9, 0.0, 2025-02-25 11:45:20.044
16.0, 512.0895413327962, -71.98559434711933, 9.613412836100906, 367.8042010422796, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200447187E9, 0.0, 2025-02-25 11:45:20.044
16.0, 740.0925421314314, 42.36184679809958, 11.47962291399017, 596.5963207315654, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200447512E9, 0.0, 2025-02-25 11:45:20.044
17.0, 548.430149202235, -114.7214311407879, 13.386971891392022, 388.9570751916617, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200449014E9, 0.0, 2025-02-25 11:45:20.044
17.0, 731.4515032838099, -324.9711268497631, 10.002362431492656, 562.348186887335, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740483920044952E9, 0.0, 2025-02-25 11:45:20.044
18.0, 904.8220455297269, -151.3687108065933, 12.122885706368834, 769.7256394303404, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740483920073E9, 0.0, 2025-02-25 11:45:20.073
18.0, 737.1978595657274, 59.397091096267104, 10.899938420858234, 591.9850240861997, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200731325E9, 0.0, 2025-02-25 11:45:20.073
19.0, 554.6608225284144, -104.17865316569805, 17.740215439815074, 400.1879947585985, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839200735068E9, 0.0, 2025-02-25 11:45:20.073
19.0, 745.5210069171153, -289.8497263658792, 13.327133492100984, 589.7878328622319, -0.01600000075995922, -0.01600000075995922, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.740483920073553E9, 0.0, 2025-02-25 11:45:20.073
20.0, 918.943907762412, -119.57208138331771, 11.543201213236898, 801.4923496539705, -0.01600000075995922, -0.01600000075995922, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839201028001E9, 0.0, 2025-02-25 11:45:20.102
20.0, 742.5122574027628, 95.72273936588317, 12.347279703710228, 627.1774826692417, -0.01600000075995922, -0.01600000075995922, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839201028588E9, 0.0, 2025-02-25 11:45:20.102
21.0, 591.7269709892571, -49.78180831018835, 12.624032300431281, 451.12917205505073, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839201037555E9, 0.0, 2025-02-25 11:45:20.103
21.0, 778.6490407246165, -240.77101924736053, 11.202870317269117, 644.5511879133992, -0.01600000075995922, -0.03200000151991844, 0.7520000357180834, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7404839201037996E9, 0.0, 2025-02-25 11:45:20.103
