Sample Index	EXG Channel 0	EXG Channel 1	EXG Channel 2	EXG Channel 3	Accel Channel 0	Accel Channel 1	Accel Channel 2	Other	Other.1	Other.2	Other.3	Other.4	Timestamp	Marker Channel	Timestamp (Formatted)
1.0	7.369472862686962	-485.5175521476194	12.567933801095933	952.3786133662798	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881652.11549	5.0	 2025-02-18 12:27:32.115
57.0	4.254136199597269	-8077.078763853293	11.176691017579287	5296.345339949243	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881653.675218	5.0	 2025-02-18 12:27:33.675
15.0	12.029388207476586	-1063.4686016500928	15.230742569547148	4314.105495386757	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881655.2652652	5.0	 2025-02-18 12:27:35.265
79.0	6.142785677220672	297.4454631758854	11.593689862638712	4496.691151123494	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881661.440778	5.0	 2025-02-18 12:27:41.440
16.0	11.571250462904572	161.57115788571537	13.035421295557173	615.7296489048749	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881666.3352883	5.0	 2025-02-18 12:27:46.335
97.0	13.555267389398068	-21863.931978207547	12.178984205704182	779.5933654634282	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881669.155233	5.0	 2025-02-18 12:27:49.155
67.0	8.588680248241872	-9178.230597456915	8.684047697111964	640.9384445562027	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881672.8752143	1.0	 2025-02-18 12:27:52.875
61.0	6.481246623210609	484.89111890504137	12.966233146376908	-575.5743430806324	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881674.825213	1.0	 2025-02-18 12:27:54.825
51.0	5.948310879524797	-61.7513581183739	11.748895710799845	-667.3458781433292	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881677.7353685	6.0	 2025-02-18 12:27:57.735
42.0	10.27537512825802	-120.06387822749092	14.671627526171504	683.7154202493839	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881679.6552975	6.0	 2025-02-18 12:27:59.655
36.0	3.8764063040725887	8949.157985270955	12.03499805741012	-515.0197529480793	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881681.605374	6.0	 2025-02-18 12:28:01.605
21.0	5.44716428546235	121.74496325757354	6.909465168137103	365.4536739201285	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881683.465304	6.0	 2025-02-18 12:28:03.465
97.0	4.792681793216616	431.67982233548537	11.821823759935796	-2780.234147259965	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881685.2354295	6.0	 2025-02-18 12:28:05.235
81.0	4.4878799468278885	-66.61322806077078	3.8726664041168983	3939.537685274612	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881688.0852916	1.0	 2025-02-18 12:28:08.085
24.0	5.720176982227713	-465.36884113634005	13.156968044117091	794.092957591638	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881689.525382	6.0	 2025-02-18 12:28:09.525
70.0	11.48336281394586	-2287.8239594940096	15.617822214961052	-3185.9908530525863	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881690.9953685	6.0	 2025-02-18 12:28:10.995
56.0	12.012558657675982	3616.864726947621	13.878768735565243	-6757.142782841809	0.0	-0.0160000007599592	0.9920000471174716	0.0	0.0	0.0	0.0	0.0	1739881693.849404	2.0	 2025-02-18 12:28:13.849
6.0	3.0311889140866697	-1152.2500866982157	6.268072325736284	-350.9073330424726	0.0	-0.0160000007599592	1.008000047877431	0.0	0.0	0.0	0.0	0.0	1739881695.3752232	2.0	 2025-02-18 12:28:15.375
