%OpenBCI Raw EXG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionNative
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Marker Channel, Timestamp (Formatted)
0.0, 4.6898345444351435, 154.89356651483104, 7.111419765744358, -167.3792225169018, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863038452E9, 0.0, 2025-02-18 12:24:46.303
1.0, 12.034998057410121, -4.22795689990744, 12.466956502292305, -405.9530505402945, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863041425E9, 0.0, 2025-02-18 12:24:46.304
1.0, 5.968880329281092, -129.8717658612877, 12.115405906457454, -351.2027851389721, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863041887E9, 0.0, 2025-02-18 12:24:46.304
2.0, 1.6231165807694197, -237.5042166360654, 9.03746824292466, -538.0594066251069, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863337262E9, 0.0, 2025-02-18 12:24:46.333
2.0, 9.611542886123061, -298.13921461766586, 11.120592518243939, -659.1629770402797, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.739881486333784E9, 0.0, 2025-02-18 12:24:46.333
3.0, 12.199553655460477, -466.2327580261044, 18.824786426965147, -421.7690874529071, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863340027E9, 0.0, 2025-02-18 12:24:46.334
3.0, 8.310057701542974, -596.8917728280649, 14.70341667579487, -360.9190452238545, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863340347E9, 0.0, 2025-02-18 12:24:46.334
4.0, 2.8759830659255385, -741.5641927639954, 15.86278566205874, -546.4854012252763, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863344421E9, 0.0, 2025-02-18 12:24:46.334
4.0, 7.23670641425997, -808.1044927756302, 11.965809908229858, -662.6897026984952, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.739881486334483E9, 0.0, 2025-02-18 12:24:46.334
5.0, 17.27459789533168, -969.5447541628964, 11.580600212793797, -897.5797292655334, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863634465E9, 0.0, 2025-02-18 12:24:46.363
5.0, 11.743285860866308, -1105.701421899721, 12.908264697063714, -837.2308336305432, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863634963E9, 0.0, 2025-02-18 12:24:46.363
6.0, 5.314397837035358, -1219.8412985973991, 10.709203523118049, -1024.1435536160134, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863637333E9, 0.0, 2025-02-18 12:24:46.363
6.0, 6.806617919355631, -1310.9938802174293, 12.388418603222817, -1112.9456081138924, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863637643E9, 0.0, 2025-02-18 12:24:46.363
7.0, 14.836183124221861, -1490.9092473858036, 12.504355501849204, -1357.3798593678512, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863644664E9, 0.0, 2025-02-18 12:24:46.364
7.0, 9.948133882135153, -1604.7013133876026, 7.653705259319395, -1303.9235993511975, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.739881486364499E9, 0.0, 2025-02-18 12:24:46.364
8.0, 6.238153126090765, -1736.8712477716617, 9.355359739158303, -1470.7829757742584, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.739881486365273E9, 0.0, 2025-02-18 12:24:46.365
8.0, 9.555444386787713, -1801.5303781055845, 11.120592518243939, -1589.8333411137573, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863653042E9, 0.0, 2025-02-18 12:24:46.365
9.0, 15.064317021518946, -1965.5062916628085, 13.828280086163431, -1356.2803287808783, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863935044E9, 0.0, 2025-02-18 12:24:46.393
9.0, 14.47341282851994, -2092.7470379052684, 14.366825679782778, -1302.8278086641803, 0.0, -0.01600000075995922, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.7398814863935673E9, 0.0, 2025-02-18 12:24:46.393
